"List","Num_genes"
"TMM name","../normed_counts/Pseudobulk_all_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","4143"
"CTL_cyclers_AR33BHQ1","740"
"AD_cyclers_AR20BHQ1","3622"
"AD_cyclers_AR33BHQ1","750"
"AD_CTL_mthd2_cyclers_AR20BHQ1","4756"
"DR_cyclers_AR1BHQ3","1075"
"DR_cyclers_AR20BHQ3","1012"
"DR_cyclers_AR33BHQ3","200"
"DR_cyclers_mthd2_AR1_DRBHQ3","1073"
"DR_cyclers_mthd2_AR20_DRBHQ3","1004"
"DR_lostAmpAD_AR1BHQ3","996"
"DR_lostAmpAD_AR20BHQ3","919"
"DR_lostAmpAD_AR33BHQ3","166"
"DR_mthd2_lostAmpAD_AR1BHQ3","993"
"DR_mthd2_lostAmpAD_AR20BHQ3","908"
"DR_gainAmpAD_AR1BHQ3","79"
"DR_gainAmpAD_AR20BHQ3","93"
"DR_gainAmpAD_AR33BHQ3","34"
"DR_mthd2_gainAmpAD_AR1BHQ3","80"
"DR_mthd2_gainAmpAD_AR20BHQ3","96"
