"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Glycerylphosphorylethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","C01233","NCCOP(O)(=O)OCC(O)CO","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","657272","C00670","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"myo-Inositol","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"N-Acetylputrescine","N-Acetylputrescine","HMDB0002064","122356","C02714","CC(=O)NCCCCN","1"
"PE(18:0/18:1(9Z))","PE(18:0/18:1(9Z))","HMDB0008993","9546742","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/CCCCCCCC","1"
"2-hydroxy enanthoic acid","NA","NA","NA","NA","NA","0"
"7beta-Hydroxycholesterol","7beta-Hydroxycholesterol","HMDB0006119","473141",NA,"[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C","1"
"Homocarnosine","Homocarnosine","HMDB0000745","10243361","C00884","NCCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"Lenticin","Lenticin","HMDB0061115","442106","C09213","C[N+](C)(C)[C@@H](CC1=CNC2=CC=CC=C12)C([O-])=O","1"
"Glyceric acid","Glyceric acid","HMDB0000139","439194","C00258","OC[C@@H](O)C(O)=O","1"
"Ergothioneine","Ergothioneine","HMDB0003045","5351619","C05570","C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C([O-])=O","1"
"Guanidoacetic acid","Guanidoacetic acid","HMDB0000128","763","C00581","NC(=N)NCC(O)=O","1"
"12S-HHT","12S-HHT","HMDB0012535","5283141","C20388","CCCCC[C@H](O)\C=C\C=C\C\C=C/CCCC(O)=O","1"
"gamma-Glutamylthreonine","gamma-Glutamylthreonine","HMDB0029159","53861142",NA,"C[C@@H](O)[C@H](NC(=O)CC[C@H](N)C(O)=O)C(O)=O","1"
