"","Name",""
"C01233","Glycerylphosphorylethanolamine","0"
"C00670","Glycerophosphocholine","0"
"C00137","myo-Inositol","0"
"C02714","N-Acetylputrescine","0"
"C00350","PE(14:0/20:1(11Z))","0"
"C00884","Homocarnosine","0"
"C09213","Lenticin","0"
"C00258","Glyceric acid","0"
"C05570","Ergothioneine","0"
"C00581","Guanidoacetic acid","0"
"C20388","12S-HHT","0"
"C14777","12-HETE","0"
"C12270","N-Acetylaspartylglutamic acid","0"
"C00134","Putrescine","0"
"C00025","Glutamic acid","0"
"C02946","4-Acetamidobutanoic acid","0"
"C00408","Pipecolic acid","0"
"C00956","Aminoadipic acid","0"
"C00455","Nicotinamide ribotide","0"
"C02989","Methionine sulfoxide","0"
"C00624","N-Acetyl-L-glutamic acid","0"
"C03150","Nicotinamide riboside","0"
"C13736","Memantine","0"
"C05422","Dehydroascorbic acid","0"
"C14767","alpha-Dimorphecolic acid","0"
"C00534","Pyridoxamine","0"
"C00188","L-Threonine","0"
"C02477","alpha-Tocopherol","0"
"C03045","2-Hydroxystearic acid","0"
"C01367","3'-AMP","0"
"C00626","PI(16:0/16:0)","0"
"C04742","15-HETE","0"
"C01181","4-Trimethylammoniobutanoic acid","0"
"C07326","1,5-Anhydrosorbitol","0"
"C00300","Creatine","0"
"C00006","NADP","0"
"C14152","beta-Tocopherol","0"
"C00157","Phosphatidylcholine","0"
"C05282","gamma-Glutamylglutamic acid","0"
"C02287","Hydroxypropanedioic acid","0"
"C01004","Trigonelline","0"
"C06193","Guanosine 3'-monophosphate","0"
"C01384","Maleic acid","0"
"C01924","Homo-L-arginine","0"
"C02076","Sedoheptulose","0"
"C08493","Indole-3-carboxaldehyde","0"
