"Query","Entrez","Symbol","Name","Comment"
"HMGN2","3151","HMGN2","high mobility group nucleosomal binding domain 2","1"
"ADAMTS2","9509","ADAMTS2","ADAM metallopeptidase with thrombospondin type 1 motif 2","1"
"PRR13","54458","PRR13","proline rich 13","1"
"CDIPT","10423","CDIPT","CDP-diacylglycerol--inositol 3-phosphatidyltransferase","1"
"BRK1","55845","BRK1","BRICK1 subunit of SCAR/WAVE actin nucleating complex","1"
"SCN2B","6327","SCN2B","sodium voltage-gated channel beta subunit 2","1"
"FANCC","2176","FANCC","FA complementation group C","1"
"TPM3","7170","TPM3","tropomyosin 3","1"
"STAG1","10274","STAG1","stromal antigen 1","1"
"GTF2H3","2967","GTF2H3","general transcription factor IIH subunit 3","1"
"RPL39L","116832","RPL39L","ribosomal protein L39 like","1"
"RAPGEF6","51735","RAPGEF6","Rap guanine nucleotide exchange factor 6","1"
"DCAF11","80344","DCAF11","DDB1 and CUL4 associated factor 11","1"
"EIF1","10209","EIF1","eukaryotic translation initiation factor 1","1"
"MRPS23","51649","MRPS23","mitochondrial ribosomal protein S23","1"
"SLC16A6","9120","SLC16A6","solute carrier family 16 member 6","1"
"COPS7A","50813","COPS7A","COP9 signalosome subunit 7A","1"
"CALM3","808","CALM3","calmodulin 3","1"
"ZMAT2","153527","ZMAT2","zinc finger matrin-type 2","1"
"NPM3","10360","NPM3","nucleophosmin/nucleoplasmin 3","1"
"CCKBR","887","CCKBR","cholecystokinin B receptor","1"
"EPB41","2035","EPB41","erythrocyte membrane protein band 4.1","1"
"TMEM107","84314","TMEM107","transmembrane protein 107","1"
"TSR2","90121","TSR2","TSR2 ribosome maturation factor","1"
"DNAJC18","202052","DNAJC18","DnaJ heat shock protein family (Hsp40) member C18","1"
"SDHAF1","644096","SDHAF1","succinate dehydrogenase complex assembly factor 1","1"
"ODC1","4953","ODC1","ornithine decarboxylase 1","1"
"ZDHHC23","254887","ZDHHC23","zinc finger DHHC-type palmitoyltransferase 23","1"
"NUDT16","131870","NUDT16","nudix hydrolase 16","1"
"SNAPC5","10302","SNAPC5","small nuclear RNA activating complex polypeptide 5","1"
"WBP2","23558","WBP2","WW domain binding protein 2","1"
"SCGN","10590","SCGN","""secretagogin, EF-hand calcium binding protein""","1"
"CHCHD7","79145","CHCHD7","coiled-coil-helix-coiled-coil-helix domain containing 7","1"
"PAX7","5081","PAX7","paired box 7","1"
"LYRM7","90624","LYRM7","LYR motif containing 7","1"
"MRPS18A","55168","MRPS18A","mitochondrial ribosomal protein S18A","1"
"MRPL30","51263","MRPL30","mitochondrial ribosomal protein L30","1"
"PLPP1","8611","PLPP1","phospholipid phosphatase 1","1"
"AGPAT1","10554","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1","1"
"HSD11B2","3291","HSD11B2","hydroxysteroid 11-beta dehydrogenase 2","1"
"CTXN1","404217","CTXN1","cortexin 1","1"
"MANBAL","63905","MANBAL","mannosidase beta like","1"
"BEX4","56271","BEX4","brain expressed X-linked 4","1"
"COA5","493753","COA5","cytochrome c oxidase assembly factor 5","1"
"SPRYD3","84926","SPRYD3","SPRY domain containing 3","1"
"BLOC1S6","26258","BLOC1S6","biogenesis of lysosomal organelles complex 1 subunit 6","1"
"KCNMB3","27094","KCNMB3","potassium calcium-activated channel subfamily M regulatory beta subunit 3","1"
"SCCPDH","51097","SCCPDH","saccharopine dehydrogenase (putative)","1"
"SNRPE","6635","SNRPE","small nuclear ribonucleoprotein polypeptide E","1"
"TEAD1","7003","TEAD1","TEA domain transcription factor 1","1"
"BEX2","84707","BEX2","brain expressed X-linked 2","1"
"ODF2L","57489","ODF2L","outer dense fiber of sperm tails 2 like","1"
"SLC30A3","7781","SLC30A3","solute carrier family 30 member 3","1"
"TMEM109","79073","TMEM109","transmembrane protein 109","1"
"MIR31HG","554202","MIR31HG","MIR31 host gene","1"
"ATP6V1E1","529","ATP6V1E1","ATPase H+ transporting V1 subunit E1","1"
"CCDC138","165055","CCDC138","coiled-coil domain containing 138","1"
"SPCS1","28972","SPCS1","signal peptidase complex subunit 1","1"
"IMP4","92856","IMP4","IMP U3 small nucleolar ribonucleoprotein 4","1"
"EID2B","126272","EID2B","EP300 interacting inhibitor of differentiation 2B","1"
"ADAMTSL3","57188","ADAMTSL3","ADAMTS like 3","1"
"FAM136A","84908","FAM136A","family with sequence similarity 136 member A","1"
"POLE3","54107","POLE3","""DNA polymerase epsilon 3, accessory subunit""","1"
"NRIP2","83714","NRIP2","nuclear receptor interacting protein 2","1"
"TRIAP1","51499","TRIAP1","TP53 regulated inhibitor of apoptosis 1","1"
"NOL3","8996","NOL3","nucleolar protein 3","1"
"CHP1","11261","CHP1","calcineurin like EF-hand protein 1","1"
"ZPR1","8882","ZPR1","ZPR1 zinc finger","1"
"SSR2","6746","SSR2","signal sequence receptor subunit 2","1"
"SLC22A1","6580","SLC22A1","solute carrier family 22 member 1","1"
"RSL24D1","51187","RSL24D1","ribosomal L24 domain containing 1","1"
"AP1S1","1174","AP1S1","adaptor related protein complex 1 subunit sigma 1","1"
"SH2D5","400745","SH2D5","SH2 domain containing 5","1"
"WDR64","128025","WDR64","WD repeat domain 64","1"
"ATP6V1G1","9550","ATP6V1G1","ATPase H+ transporting V1 subunit G1","1"
"DCTPP1","79077","DCTPP1","dCTP pyrophosphatase 1","1"
"JPT1","51155","JPT1","Jupiter microtubule associated homolog 1","1"
"NUCB1","4924","NUCB1","nucleobindin 1","1"
"MAP3K21","84451","MAP3K21","mitogen-activated protein kinase kinase kinase 21","1"
"PPP4R1","9989","PPP4R1","protein phosphatase 4 regulatory subunit 1","1"
"MACROD2","140733","MACROD2","mono-ADP ribosylhydrolase 2","1"
"SELENOW","6415","SELENOW","selenoprotein W","1"
"C17orf102","400591","C17orf102","chromosome 17 open reading frame 102","1"
"SLCO3A1","28232","SLCO3A1","solute carrier organic anion transporter family member 3A1","1"
"MED29","55588","MED29","mediator complex subunit 29","1"
"KLHL35","283212","KLHL35","kelch like family member 35","1"
"GMPR2","51292","GMPR2","guanosine monophosphate reductase 2","1"
"SMIM10L1","100129361","SMIM10L1","small integral membrane protein 10 like 1","1"
"ACTG1","71","ACTG1","actin gamma 1","1"
"SELENOH","280636","SELENOH","selenoprotein H","1"
"MRFAP1","93621","MRFAP1","Morf4 family associated protein 1","1"
"VPS45","11311","VPS45","vacuolar protein sorting 45 homolog","1"
"IL1R1-AS1","NA","NA","NA","0"
"LSM3","27258","LSM3","""LSM3 homolog, U6 small nuclear RNA and mRNA degradation associated""","1"
"NDUFA5","4698","NDUFA5","NADH:ubiquinone oxidoreductase subunit A5","1"
"MPV17L2","84769","MPV17L2","MPV17 mitochondrial inner membrane protein like 2","1"
"C11orf87","399947","C11orf87","chromosome 11 open reading frame 87","1"
"ABRACL","58527","ABRACL","ABRA C-terminal like","1"
"VPS25","84313","VPS25","vacuolar protein sorting 25 homolog","1"
"LYRM1","57149","LYRM1","LYR motif containing 1","1"
"SYF2","25949","SYF2","SYF2 pre-mRNA splicing factor","1"
"KIAA1143","57456","KIAA1143","KIAA1143","1"
"HES4","57801","HES4","hes family bHLH transcription factor 4","1"
"PPDPF","79144","PPDPF","pancreatic progenitor cell differentiation and proliferation factor","1"
"GABARAPL1","23710","GABARAPL1","GABA type A receptor associated protein like 1","1"
"DLL3","10683","DLL3","delta like canonical Notch ligand 3","1"
"RTF2","51507","RTF2","replication termination factor 2","1"
"TMEM101","84336","TMEM101","transmembrane protein 101","1"
"TUSC2","11334","TUSC2","""tumor suppressor 2, mitochondrial calcium regulator""","1"
"NPM1","4869","NPM1","nucleophosmin 1","1"
"USP34","9736","USP34","ubiquitin specific peptidase 34","1"
"MAL2","114569","MAL2","""mal, T cell differentiation protein 2 (gene/pseudogene)""","1"
"C20orf27","54976","C20orf27","chromosome 20 open reading frame 27","1"
"UQCR10","29796","UQCR10","""ubiquinol-cytochrome c reductase, complex III subunit X""","1"
"SNU13","4809","SNU13","small nuclear ribonucleoprotein 13","1"
"BEX1","55859","BEX1","brain expressed X-linked 1","1"
"TMA7","51372","TMA7","translation machinery associated 7 homolog","1"
"PA2G4","5036","PA2G4","proliferation-associated 2G4","1"
"HIF1AN","55662","HIF1AN","hypoxia inducible factor 1 subunit alpha inhibitor","1"
"SEC61B","10952","SEC61B","SEC61 translocon subunit beta","1"
"PEF1","553115","PEF1","penta-EF-hand domain containing 1","1"
"ATP6V0E2","155066","ATP6V0E2","ATPase H+ transporting V0 subunit e2","1"
"MAGEH1","28986","MAGEH1","MAGE family member H1","1"
"NUTF2","10204","NUTF2","nuclear transport factor 2","1"
"TPRG1L","127262","TPRG1L","tumor protein p63 regulated 1 like","1"
"CUBN","8029","CUBN","cubilin","1"
"SAC3D1","29901","SAC3D1","SAC3 domain containing 1","1"
"MLEC","9761","MLEC","malectin","1"
"TXN2","25828","TXN2","thioredoxin 2","1"
"FABP5","2171","FABP5","fatty acid binding protein 5","1"
"CAPN7","23473","CAPN7","calpain 7","1"
"CDKN2AIPNL","91368","CDKN2AIPNL","CDKN2A interacting protein N-terminal like","1"
"NDUFA7","4701","NDUFA7","NADH:ubiquinone oxidoreductase subunit A7","1"
"POLR2D","5433","POLR2D","RNA polymerase II subunit D","1"
"FLYWCH2","114984","FLYWCH2","FLYWCH family member 2","1"
"OAZ1","4946","OAZ1","ornithine decarboxylase antizyme 1","1"
"LAMC1","3915","LAMC1","laminin subunit gamma 1","1"
"RAB5C","5878","RAB5C","""RAB5C, member RAS oncogene family""","1"
"PFDN4","5203","PFDN4","prefoldin subunit 4","1"
"PRDM6","93166","PRDM6","PR/SET domain 6","1"
"TMEM141","85014","TMEM141","transmembrane protein 141","1"
"SMKR1","100287482","SMKR1","small lysine rich protein 1","1"
"SEC24B","10427","SEC24B","""SEC24 homolog B, COPII coat complex component""","1"
"BOD1","91272","BOD1","biorientation of chromosomes in cell division 1","1"
"SUPT4H1","6827","SUPT4H1","""SPT4 homolog, DSIF elongation factor subunit""","1"
"Z95115.1","NA","NA","NA","0"
"KTI12","112970","KTI12","KTI12 chromatin associated homolog","1"
"SYT11","23208","SYT11","synaptotagmin 11","1"
"PPP1R7","5510","PPP1R7","protein phosphatase 1 regulatory subunit 7","1"
"FKBP1B","2281","FKBP1B","FKBP prolyl isomerase 1B","1"
"RHOV","171177","RHOV","ras homolog family member V","1"
"SEZ6","124925","SEZ6","seizure related 6 homolog","1"
"DPM2","8818","DPM2","""dolichyl-phosphate mannosyltransferase subunit 2, regulatory""","1"
"ZNHIT3","9326","ZNHIT3","zinc finger HIT-type containing 3","1"
"TMEM50B","757","TMEM50B","transmembrane protein 50B","1"
"DUSP28","285193","DUSP28","dual specificity phosphatase 28","1"
"TMSB4X","7114","TMSB4X","thymosin beta 4 X-linked","1"
"GLRX5","51218","GLRX5","glutaredoxin 5","1"
"COA3","28958","COA3","cytochrome c oxidase assembly factor 3","1"
"UBE2V2","7336","UBE2V2","ubiquitin conjugating enzyme E2 V2","1"
"TGFBR3L","100507588","TGFBR3L","transforming growth factor beta receptor 3 like","1"
"MRPS10","55173","MRPS10","mitochondrial ribosomal protein S10","1"
"COA8","84334","COA8","cytochrome c oxidase assembly factor 8","1"
"FAM161B","145483","FAM161B","FAM161 centrosomal protein B","1"
"PCNX1","22990","PCNX1","pecanex 1","1"
"SESN1","27244","SESN1","sestrin 1","1"
"Z93943.1","NA","NA","NA","0"
"MEIS3","56917","MEIS3","Meis homeobox 3","1"
"LAMTOR5","10542","LAMTOR5","""late endosomal/lysosomal adaptor, MAPK and MTOR activator 5""","1"
"C4orf3","401152","C4orf3","chromosome 4 open reading frame 3","1"
"MON1B","22879","MON1B","""MON1 homolog B, secretory trafficking associated""","1"
"INPP4B","8821","INPP4B","inositol polyphosphate-4-phosphatase type II B","1"
"ATOX1","475","ATOX1","antioxidant 1 copper chaperone","1"
"NEDD8","4738","NEDD8","NEDD8 ubiquitin like modifier","1"
"ATP5IF1","93974","ATP5IF1","ATP synthase inhibitory factor subunit 1","1"
"PCBD1","5092","PCBD1","pterin-4 alpha-carbinolamine dehydratase 1","1"
"PSMD8","5714","PSMD8","""proteasome 26S subunit, non-ATPase 8""","1"
"PPEF1","5475","PPEF1","protein phosphatase with EF-hand domain 1","1"
"C18orf21","83608","C18orf21","chromosome 18 open reading frame 21","1"
"VSTM2L","128434","VSTM2L","V-set and transmembrane domain containing 2 like","1"
"OTUD5","55593","OTUD5","OTU deubiquitinase 5","1"
"NEIL2","252969","NEIL2","nei like DNA glycosylase 2","1"
"ASXL1","171023","ASXL1","ASXL transcriptional regulator 1","1"
"TMEM256","254863","TMEM256","transmembrane protein 256","1"
"GRSF1","2926","GRSF1","G-rich RNA sequence binding factor 1","1"
"FAM71E1","112703","FAM71E1","family with sequence similarity 71 member E1","1"
"SQSTM1","8878","SQSTM1","sequestosome 1","1"
"LSM4","25804","LSM4","""LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated""","1"
"SEC62","7095","SEC62","""SEC62 homolog, preprotein translocation factor""","1"
"SGPL1","8879","SGPL1","sphingosine-1-phosphate lyase 1","1"
"SUB1","10923","SUB1","SUB1 regulator of transcription","1"
"SNRPC","6631","SNRPC","small nuclear ribonucleoprotein polypeptide C","1"
"THNSL1","79896","THNSL1","threonine synthase like 1","1"
"TAC3","6866","TAC3","tachykinin precursor 3","1"
"RPL26L1","51121","RPL26L1","ribosomal protein L26 like 1","1"
"CHCHD2","51142","CHCHD2","coiled-coil-helix-coiled-coil-helix domain containing 2","1"
"TMEM203","94107","TMEM203","transmembrane protein 203","1"
"PHYH","5264","PHYH","phytanoyl-CoA 2-hydroxylase","1"
"NSMCE1","197370","NSMCE1","""NSE1 homolog, SMC5-SMC6 complex component""","1"
"SEZ6L2","26470","SEZ6L2","seizure related 6 homolog like 2","1"
"TPGS2","25941","TPGS2","tubulin polyglutamylase complex subunit 2","1"
"DSTN","11034","DSTN","""destrin, actin depolymerizing factor""","1"
"ARPP19","10776","ARPP19","cAMP regulated phosphoprotein 19","1"
"PFDN2","5202","PFDN2","prefoldin subunit 2","1"
"COPZ1","22818","COPZ1","COPI coat complex subunit zeta 1","1"
"SYT5","6861","SYT5","synaptotagmin 5","1"
"C3orf80","401097","C3orf80","chromosome 3 open reading frame 80","1"
"HEIH","100859930","HEIH","hepatocellular carcinoma up-regulated EZH2-associated long non-coding RNA","1"
"HDDC3","374659","HDDC3","HD domain containing 3","1"
"BEX3","27018","BEX3","brain expressed X-linked 3","1"
"TCEAL4","79921","TCEAL4","transcription elongation factor A like 4","1"
"WBP11","51729","WBP11","WW domain binding protein 11","1"
"RABGAP1L","9910","RABGAP1L","RAB GTPase activating protein 1 like","1"
"MICOS10","440574","MICOS10","mitochondrial contact site and cristae organizing system subunit 10","1"
"CCDC115","84317","CCDC115","coiled-coil domain containing 115","1"
"ARHGEF6","9459","ARHGEF6","Rac/Cdc42 guanine nucleotide exchange factor 6","1"
"CDK13","8621","CDK13","cyclin dependent kinase 13","1"
"TCEAL5","340543","TCEAL5","transcription elongation factor A like 5","1"
"PET117","100303755","PET117","PET117 cytochrome c oxidase chaperone","1"
"TRIM68","55128","TRIM68","tripartite motif containing 68","1"
"KIF13B","23303","KIF13B","kinesin family member 13B","1"
"TCEAL2","140597","TCEAL2","transcription elongation factor A like 2","1"
"PDRG1","81572","PDRG1","p53 and DNA damage regulated 1","1"
"TIMM8A","1678","TIMM8A","translocase of inner mitochondrial membrane 8A","1"
"NDUFB5","4711","NDUFB5","NADH:ubiquinone oxidoreductase subunit B5","1"
"THOC7","80145","THOC7","THO complex 7","1"
"POP4","10775","POP4","""POP4 homolog, ribonuclease P/MRP subunit""","1"
"EIF3I","8668","EIF3I","eukaryotic translation initiation factor 3 subunit I","1"
"CSTB","1476","CSTB","cystatin B","1"
"LAMTOR1","55004","LAMTOR1","""late endosomal/lysosomal adaptor, MAPK and MTOR activator 1""","1"
"C12orf43","64897","C12orf43","chromosome 12 open reading frame 43","1"
"MAPKBP1","23005","MAPKBP1","mitogen-activated protein kinase binding protein 1","1"
"ZCCHC12","170261","ZCCHC12","zinc finger CCHC-type containing 12","1"
"TTC9","23508","TTC9","tetratricopeptide repeat domain 9","1"
"SPAG16","79582","SPAG16","sperm associated antigen 16","1"
"HSP90B1","7184","HSP90B1","heat shock protein 90 beta family member 1","1"
"TIMM10B","26515","TIMM10B","translocase of inner mitochondrial membrane 10B","1"
"FANCB","2187","FANCB","FA complementation group B","1"
"SULT4A1","25830","SULT4A1","sulfotransferase family 4A member 1","1"
"GNG3","2785","GNG3","G protein subunit gamma 3","1"
"TPM1","7168","TPM1","tropomyosin 1","1"
"DGAT2","84649","DGAT2","diacylglycerol O-acyltransferase 2","1"
"PITHD1","57095","PITHD1","PITH domain containing 1","1"
"ABCB7","22","ABCB7","ATP binding cassette subfamily B member 7","1"
"TMEM130","222865","TMEM130","transmembrane protein 130","1"
"IPO5","3843","IPO5","importin 5","1"
"LYSMD1","388695","LYSMD1","LysM domain containing 1","1"
"CIAPIN1","57019","CIAPIN1","cytokine induced apoptosis inhibitor 1","1"
"TCEAL7","56849","TCEAL7","transcription elongation factor A like 7","1"
"SYTL1","84958","SYTL1","synaptotagmin like 1","1"
"KBTBD11","9920","KBTBD11","kelch repeat and BTB domain containing 11","1"
"BOLA3","388962","BOLA3","bolA family member 3","1"
"JAK2","3717","JAK2","Janus kinase 2","1"
"DMAC1","90871","DMAC1","distal membrane arm assembly complex 1","1"
"MRTO4","51154","MRTO4","""MRT4 homolog, ribosome maturation factor""","1"
"POLR2K","5440","POLR2K","RNA polymerase II subunit K","1"
"PBRM1","55193","PBRM1","polybromo 1","1"
"PPA2","27068","PPA2","inorganic pyrophosphatase 2","1"
"MEF2D","4209","MEF2D","myocyte enhancer factor 2D","1"
"TRRAP","8295","TRRAP","transformation/transcription domain associated protein","1"
"FAM160A2","84067","FAM160A2","family with sequence similarity 160 member A2","1"
"GCK","2645","GCK","glucokinase","1"
"OTUB1","55611","OTUB1","""OTU deubiquitinase, ubiquitin aldehyde binding 1""","1"
"FAM50B","26240","FAM50B","family with sequence similarity 50 member B","1"
"METTL1","4234","METTL1","methyltransferase like 1","1"
"CHCHD1","118487","CHCHD1","coiled-coil-helix-coiled-coil-helix domain containing 1","1"
"NCBP2AS2","152217","NCBP2AS2","NCBP2 antisense 2 (head to head)","1"
"AGTPBP1","23287","AGTPBP1","ATP/GTP binding protein 1","1"
"DTX4","23220","DTX4","deltex E3 ubiquitin ligase 4","1"
"ELOC","6921","ELOC","elongin C","1"
"LY6E","4061","LY6E","lymphocyte antigen 6 family member E","1"
"TLE4","7091","TLE4","""TLE family member 4, transcriptional corepressor""","1"
"NRIP3","56675","NRIP3","nuclear receptor interacting protein 3","1"
"LAGE3","8270","LAGE3","L antigen family member 3","1"
"MANEAL","149175","MANEAL","mannosidase endo-alpha like","1"
"EIF3M","10480","EIF3M","eukaryotic translation initiation factor 3 subunit M","1"
"HTR5A","3361","HTR5A","5-hydroxytryptamine receptor 5A","1"
"CITED4","163732","CITED4","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4","1"
"GTF2H5","404672","GTF2H5","general transcription factor IIH subunit 5","1"
"ATXN7L3B","552889","ATXN7L3B","ataxin 7 like 3B","1"
"HSBP1","3281","HSBP1","heat shock factor binding protein 1","1"
"NFS1","9054","NFS1","NFS1 cysteine desulfurase","1"
"MRPS17","51373","MRPS17","mitochondrial ribosomal protein S17","1"
"AKIP1","56672","AKIP1","A-kinase interacting protein 1","1"
"HNRNPA1","3178","HNRNPA1","heterogeneous nuclear ribonucleoprotein A1","1"
"SERP2","387923","SERP2","stress associated endoplasmic reticulum protein family member 2","1"
"AP2M1","1173","AP2M1","adaptor related protein complex 2 subunit mu 1","1"
"NRN1","51299","NRN1","neuritin 1","1"
"ERP29","10961","ERP29","endoplasmic reticulum protein 29","1"
"TCEAL8","90843","TCEAL8","transcription elongation factor A like 8","1"
"MRPL32","64983","MRPL32","mitochondrial ribosomal protein L32","1"
"NHP2","55651","NHP2","NHP2 ribonucleoprotein","1"
"CDKN2D","1032","CDKN2D","cyclin dependent kinase inhibitor 2D","1"
"LRRC73","221424","LRRC73","leucine rich repeat containing 73","1"
"TRAPPC4","51399","TRAPPC4","trafficking protein particle complex 4","1"
"WNT10B","7480","WNT10B","Wnt family member 10B","1"
"BCL7A","605","BCL7A","BAF chromatin remodeling complex subunit BCL7A","1"
"BEX5","340542","BEX5","brain expressed X-linked 5","1"
"CHURC1","91612","CHURC1","churchill domain containing 1","1"
"DPY19L1","23333","DPY19L1","dpy-19 like C-mannosyltransferase 1","1"
"FAM32A","26017","FAM32A","family with sequence similarity 32 member A","1"
"KIF3B","9371","KIF3B","kinesin family member 3B","1"
"HTR5A-AS1","100128264","HTR5A-AS1","HTR5A antisense RNA 1","1"
"THRA","7067","THRA","thyroid hormone receptor alpha","1"
"SRRD","402055","SRRD","SRR1 domain containing","1"
"PPCS","79717","PPCS","phosphopantothenoylcysteine synthetase","1"
"TOMM6","100188893","TOMM6","translocase of outer mitochondrial membrane 6","1"
"MRPL15","29088","MRPL15","mitochondrial ribosomal protein L15","1"
"CHCHD10","400916","CHCHD10","coiled-coil-helix-coiled-coil-helix domain containing 10","1"
"PCYOX1L","78991","PCYOX1L","prenylcysteine oxidase 1 like","1"
