"List","Num_genes"
"TMM name","../normed_counts/ExcSubtypes35_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","6361"
"CTL_cyclers_AR33BHQ1","2247"
"AD_cyclers_AR20BHQ1","6542"
"AD_cyclers_AR33BHQ1","2476"
"AD_CTL_mthd2_cyclers_AR20BHQ1","7128"
"DR_cyclers_AR1BHQ3","0"
"DR_cyclers_AR20BHQ3","15"
"DR_cyclers_AR33BHQ3","448"
"DR_cyclers_mthd2_AR1_DRBHQ3","0"
"DR_cyclers_mthd2_AR20_DRBHQ3","15"
"DR_lostAmpAD_AR1BHQ3","0"
"DR_lostAmpAD_AR20BHQ3","10"
"DR_lostAmpAD_AR33BHQ3","337"
"DR_mthd2_lostAmpAD_AR1BHQ3","0"
"DR_mthd2_lostAmpAD_AR20BHQ3","10"
"DR_gainAmpAD_AR1BHQ3","0"
"DR_gainAmpAD_AR20BHQ3","5"
"DR_gainAmpAD_AR33BHQ3","111"
"DR_mthd2_gainAmpAD_AR1BHQ3","0"
"DR_mthd2_gainAmpAD_AR20BHQ3","5"
