"SHORT_NAME","CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG_metaboAnalyst","acrophase","amplitude","p_statistic","amp_ratio","sin_coff","cos_coeff","BHQ","Bonf","HMDB_metabolon","Match_MetaboAnalyst","HMDB_MetaboAnalyst","PubChem","ChEBI","KEGGNA","METLIN","SMILES","Comment"
"(R)-3-hydroxybutyrylcarnitine","100003926","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)","(R)-3-hydroxybutyrylcarnitine",NA,"HMDB0013127",53481617,NA,0.525294781769691,0.178164530915561,0.0123264751271113,0.172612461774675,0.089343822501479,0.154143703916787,0.0982344599415707,1,"HMDB0013127","3-Hydroxybutyrylcarnitine","HMDB0013127","53481617","72995",NA,NA,"C[C@@H](O)CC(=O)O[C@@H](CC([O-])=O)C[N+](C)(C)C",1
"1-(1-enyl-stearoyl)-GPE (P-18:0)*","100003001","Lipid","Lysoplasmalogen","1-(1-enyl-stearoyl)-GPE (P-18:0)*",NA,NA,NA,NA,0.212079913991364,0.0767970134255804,0.00376142844550391,0.0803357482143199,0.0161652850212796,0.0750763933022197,0.0481586166547304,1,NA,"LysoPE(P-18:0/0:0)","HMDB0240598","42607470","87823",NA,NA,NA,1
"1-carboxyethylleucine","100020425","Amino Acid","Leucine, Isoleucine and Valine Metabolism","1-carboxyethylleucine",NA,NA,NA,NA,1.09322454940219,0.172710634208867,0.00070734948529218,0.184477070886083,0.15338666471755,0.0793819516997089,0.0149847601300477,0.552439948013197,NA,"1-Carboxyethylleucine","HMDB0240626","53752255","NA","NA","NA","CC(C)C[C@H](N[C@H](C)C(O)=O)C(O)=O",1
"1-carboxyethylphenylalanine","100020419","Amino Acid","Phenylalanine Metabolism","1-carboxyethylphenylalanine",19276386,NA,59100900,NA,1.19915934591088,0.232474210097134,0.0001753307777312,0.253239215226445,0.216604158016968,0.0844209517243586,0.00760740763378173,0.136933337408071,NA,"1-Carboxyethylphenylalanine","HMDB0240628","127261991","NA","NA","NA","C[C@@H](N[C@@H](CC1=CC=CC=C1)C(O)=O)C(O)=O",1
"1-carboxyethyltyrosine","100020421","Amino Acid","Tyrosine Metabolism","1-carboxyethyltyrosine",NA,NA,NA,NA,1.21488830363067,0.204067730978755,0.000309888085979,0.232177353196313,0.191278904682193,0.0711056921096898,0.0100842747979001,0.242022595149601,NA,"1-Carboxyethyltyrosine","HMDB0242159","146171371","NA","NA","NA","[H]C(C)(N[C@@]([H])(CC1=CC=C(O)C=C1)C(O)=O)C(O)=O",1
"1-carboxyethylvaline","100020423","Amino Acid","Leucine, Isoleucine and Valine Metabolism","1-carboxyethylvaline",NA,NA,NA,NA,1.29469026681999,0.205595893877463,0.00159280509109473,0.227061512930149,0.197808797624083,0.0560477578658385,0.0294730417860272,1,NA,"1-Carboxyethylvaline","HMDB0240627","NA","NA","NA","NA","CC(C)[C@H](N[C@H](C)C(O)=O)C(O)=O",1
"1-methyl-4-imidazoleacetate","100001208","Amino Acid","Histidine Metabolism","1-methyl-4-imidazoleacetate",68319,"HMDB0002820",75810,"C05828",4.42804031784049,0.31994189402801,5.21268427740857e-08,0.265671006133658,-0.307094492085005,-0.0897540443951296,4.07110642065609e-05,4.07110642065609e-05,"HMDB0002820","Methylimidazoleacetic acid","HMDB0002820","75810","1606","C05828","3774","CN1C=NC(CC(O)=O)=C1",1
"1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*","100009078","Lipid","Phosphatidylethanolamine (PE)","1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*",7825703,"HMDB0005349",9546753,NA,0.506547671134112,0.13896409824117,0.00906918810329046,0.146432828934884,0.0674200084795179,0.121513633212916,0.0823608826589517,1,"HMDB0005349","PE(18:1(9Z)/18:2(9Z,12Z))","HMDB0009060","9546753","74977","C00350","NA","[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC",1
"1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","100008990","Lipid","Phosphatidylethanolamine (PE)","1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*",7825750,"HMDB0005323",9546800,"C05210",4.83932779824837,0.0622839136216036,0.0026455563437028,0.0615548945484467,-0.0617827822937584,0.00788503063186367,0.038984518951545,1,"HMDB0005323","PE(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0008937","9546800","73009","C00350","NA","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC",1
"1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*","100008993","Lipid","Phosphatidylinositol (PI)","1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*",24767674,"HMDB0009789",NA,NA,4.59335491207536,0.0620092064626172,0.00234865235725618,0.0609819371200777,-0.0615704173185059,-0.00736378960512305,0.0374346426738179,1,"HMDB0009789","PI(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0009789","52928411","73209",NA,NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(O)(=O)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC",1
"2-aminoadipate","381","Amino Acid","Lysine Metabolism","2-aminoadipate",456,"HMDB0000510",92136,"C00956",1.83409123566823,0.325571824460496,0.00273523263366339,0.329942494130226,0.314351863057076,-0.0847344031375746,0.0395595682757613,1,"HMDB0000510","Aminoadipic acid","HMDB0000510","92136","37023","C00956","5496","N[C@@H](CCCC(O)=O)C(O)=O",1
"2-hydroxybutyrate/2-hydroxyisobutyrate","100008928","Amino Acid","Glutathione Metabolism","2-hydroxybutyrate/2-hydroxyisobutyrate",NA,"HMDB0000729,HMDB00008",4408644277439,"C21297,C05984",1.37581022162685,0.21299171322157,0.00422036121373485,0.242128308107826,0.208955597318194,0.0412677628477276,0.0531629372246277,1,"HMDB0000729","alpha-Hydroxyisobutyric acid","HMDB0000729","11671","50129",NA,"3750","CC(C)(O)C(O)=O",1
