"List","Num_genes"
"TMM name","../normed_counts/Inhib_all_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","2209"
"CTL_cyclers_AR33BHQ1","351"
"AD_cyclers_AR20BHQ1","1556"
"AD_cyclers_AR33BHQ1","348"
"AD_CTL_mthd2_cyclers_AR20BHQ1","2535"
"DR_cyclers_AR1BHQ3","589"
"DR_cyclers_AR20BHQ3","590"
"DR_cyclers_AR33BHQ3","27"
"DR_cyclers_mthd2_AR1_DRBHQ3","590"
"DR_cyclers_mthd2_AR20_DRBHQ3","580"
"DR_lostAmpAD_AR1BHQ3","505"
"DR_lostAmpAD_AR20BHQ3","513"
"DR_lostAmpAD_AR33BHQ3","21"
"DR_mthd2_lostAmpAD_AR1BHQ3","506"
"DR_mthd2_lostAmpAD_AR20BHQ3","500"
"DR_gainAmpAD_AR1BHQ3","84"
"DR_gainAmpAD_AR20BHQ3","77"
"DR_gainAmpAD_AR33BHQ3","6"
"DR_mthd2_gainAmpAD_AR1BHQ3","84"
"DR_mthd2_gainAmpAD_AR20BHQ3","80"
