"List","Num_genes"
"TMM name","../normed_counts/Ast_all_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","885"
"CTL_cyclers_AR33BHQ1","117"
"AD_cyclers_AR20BHQ1","1058"
"AD_cyclers_AR33BHQ1","268"
"AD_CTL_mthd2_cyclers_AR20BHQ1","1369"
"DR_cyclers_AR1BHQ3","0"
"DR_cyclers_AR20BHQ3","0"
"DR_cyclers_AR33BHQ3","1"
"DR_cyclers_mthd2_AR1_DRBHQ3","0"
"DR_cyclers_mthd2_AR20_DRBHQ3","0"
"DR_lostAmpAD_AR1BHQ3","0"
"DR_lostAmpAD_AR20BHQ3","0"
"DR_lostAmpAD_AR33BHQ3","0"
"DR_mthd2_lostAmpAD_AR1BHQ3","0"
"DR_mthd2_lostAmpAD_AR20BHQ3","0"
"DR_gainAmpAD_AR1BHQ3","0"
"DR_gainAmpAD_AR20BHQ3","0"
"DR_gainAmpAD_AR33BHQ3","1"
"DR_mthd2_gainAmpAD_AR1BHQ3","0"
"DR_mthd2_gainAmpAD_AR20BHQ3","0"
