"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glycolysis or Gluconeogenesis",61,5.65,24,1.3309e-10,9.8759,1.118e-08,1.118e-08,0.9
"Retinol metabolism",47,4.3533,14,4.8681e-05,4.3126,0.0040405,0.0020446,0.63043
"Phenylalanine metabolism",21,1.9451,8,0.00033602,3.4736,0.027554,0.0094087,1.4
"Glycerolipid metabolism",35,3.2418,10,0.00087409,3.0584,0.070801,0.018356,0.67647
"Fructose and mannose metabolism",40,3.7049,10,0.0026645,2.5744,0.21316,0.044763,0.76923
"Arachidonic acid metabolism",81,7.5025,15,0.0061701,2.2097,0.48744,0.086382,0.425
"Phenylalanine, tyrosine and tryptophan biosynthesis",11,1.0189,4,0.014025,1.8531,1,0.1683,2.2
"Glutathione metabolism",56,5.1869,10,0.029986,1.5231,1,0.31485,0.45455
"Neomycin, kanamycin and gentamicin biosynthesis",4,0.37049,2,0.045202,1.3448,1,0.38403,0.66667
"Butanoate metabolism",29,2.6861,6,0.045718,1.3399,1,0.38403,0.39286
"Taurine and hypotaurine metabolism",16,1.482,4,0.053578,1.271,1,0.40914,0.66667
"Pentose phosphate pathway",47,4.3533,8,0.063407,1.1979,1,0.44385,0.52174
"Lysine degradation",49,4.5385,8,0.077608,1.1101,1,0.46756,0.33333
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",18,1.6672,4,0.077927,1.1083,1,0.46756,0.58824
"Valine, leucine and isoleucine biosynthesis",12,1.1115,3,0.092245,1.0351,1,0.47189,0.36364
"Glycerophospholipid metabolism",86,7.9656,12,0.095015,1.0222,1,0.47189,0.4
"Starch and sucrose metabolism",43,3.9828,7,0.096734,1.0144,1,0.47189,0.54762
"Arginine and proline metabolism",78,7.2246,11,0.10112,0.99517,1,0.47189,0.45455
"Pyruvate metabolism",45,4.168,7,0.11667,0.93303,1,0.51582,0.54545
"Tryptophan metabolism",84,7.7803,11,0.14881,0.82737,1,0.625,0.43373
