"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Methylimidazoleacetic acid","Methylimidazoleacetic acid","HMDB0002820","75810","C05828","CN1C=NC(CC(O)=O)=C1","1"
"Kynurenine","Kynurenine","HMDB0000684","161166","C00328","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"Betaine","Betaine","HMDB0000043","247","C00719","C[N+](C)(C)CC(O)=O","1"
"Uric acid","Uric acid","HMDB0000289","1175","C00366","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"Deoxyuridine","Deoxyuridine","HMDB0000012","13712","C00526","OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O","1"
"Sorbitol","Sorbitol","HMDB0000247","5780","C00794","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"Phenylalanine","Phenylalanine","HMDB0000159","6140","C00079","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"N-(3-acetamidopropyl)pyrrolidin-2-one","N-(3-acetamidopropyl)pyrrolidin-2-one","HMDB0061384","129397",NA,"CC(=O)NCCCN1CCCC1=O","1"
"N-Acetyl-3-methylhistidine","NA","NA","NA","NA","NA","0"
"1-Carboxyethylphenylalanine","NA","NA","NA","NA","NA","0"
"Deoxycytidine","Deoxycytidine","HMDB0000014","13711","C00881","NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1","1"
"Docosanoylcarnitine","Docosanoylcarnitine","HMDB0062468","71464577",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","657272","C00670","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"L-Tyrosine","L-Tyrosine","HMDB0000158","6057","C00082","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"1-Carboxyethyltyrosine","NA","NA","NA","NA","NA","0"
"3-Methylglutaconic acid","3-Methylglutaconic acid","HMDB0000522","1551553",NA,"C\C(CC(O)=O)=C/C(O)=O","1"
"Kynurenic acid","Kynurenic acid","HMDB0000715","3845","C01717","OC(=O)C1=CC(=O)C2=CC=CC=C2N1","1"
"Phenylacetylglutamine","Phenylacetylglutamine","HMDB0006344","92258","C04148","NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"Urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"Methylhistidine","Methylhistidine","HMDB0000479","64969","C01152","[H][C@](N)(CC1=CN=CN1C)C(O)=O","1"
"S-Adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","C00021","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"Glutamine","Glutamine","HMDB0000641","5961","C00064","N[C@@H](CCC(N)=O)C(O)=O","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"N2,N2-Dimethylguanosine","N2,N2-Dimethylguanosine","HMDB0004824","92919",NA,"CN(C)C1=NC(=O)C2=C(N1)N(C=N2)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"1-Carboxyethylleucine","NA","NA","NA","NA","NA","0"
"gamma-Aminobutyric acid","gamma-Aminobutyric acid","HMDB0000112","119","C00334","NCCCC(O)=O","1"
"Lignoceroylcarnitine","NA","NA","NA","NA","NA","0"
"D-Lysine","D-Lysine","HMDB0003405","57449","C00739","NCCCC[C@@H](N)C(O)=O","1"
"1-Methylinosine","1-Methylinosine","HMDB0002721","65095",NA,"CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O","1"
"Indoxyl sulfate","Indoxyl sulfate","HMDB0000682","10258",NA,"OS(=O)(=O)OC1=CNC2=CC=CC=C12","1"
"4-Deoxythreonic acid","4-Deoxythreonic acid","HMDB0002453","10964471",NA,"C[C@@H](O)[C@H](O)C(O)=O","1"
"L-Valine","L-Valine","HMDB0000883","6287","C00183","CC(C)[C@H](N)C(O)=O","1"
"1-Carboxyethylvaline","NA","NA","NA","NA","NA","0"
"N6-Acetyl-L-lysine","N6-Acetyl-L-lysine","HMDB0000206","92832","C02727","CC(=O)NCCCC[C@H](N)C(O)=O","1"
"D-Mannonate","D-Mannonate","METPA0052",NA,"C00514",NA,"1"
"O-Palmitoleoylcarnitine","NA","NA","NA","NA","NA","0"
"PI(16:0/20:4(5Z,8Z,11Z,14Z))","NA","NA","NA","NA","NA","0"
"Arachidyl carnitine","Arachidyl carnitine","HMDB0006460","53477833",NA,"CCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"Leucine","Leucine","HMDB0000687","6106","C00123","CC(C)C[C@H](N)C(O)=O","1"
"Sulfate","Sulfate","HMDB0001448","1117","C00059","OS(O)(=O)=O","1"
"PE(16:0/20:4(5Z,8Z,11Z,14Z))","PE(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB0008937","9546800","C00350","[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP(O)(=O)OCCN)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"Aminoadipic acid","Aminoadipic acid","HMDB0000510","92136","C00956","N[C@@H](CCCC(O)=O)C(O)=O","1"
"Glycerylphosphorylethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","C01233","NCCOP(O)(=O)OCC(O)CO","1"
"Isoleucine","Isoleucine","HMDB0000172","6306","C00407","CC[C@H](C)[C@H](N)C(O)=O","1"
"Myristoleoylcarnitine","Myristoleoylcarnitine","HMDB0240588","90659872",NA,"CCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
