"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"4-Deoxythreonic acid","4-Deoxythreonic acid","HMDB0002453","10964471",NA,"C[C@@H](O)[C@H](O)C(O)=O","1"
"Salicylic acid","Salicylic acid","HMDB0001895","338","C00805","OC(=O)C1=C(O)C=CC=C1","1"
"3-Methylglutaconic acid","3-Methylglutaconic acid","HMDB0000522","1551553",NA,"C\C(CC(O)=O)=C/C(O)=O","1"
"N-(3-acetamidopropyl)pyrrolidin-2-one","N-(3-acetamidopropyl)pyrrolidin-2-one","HMDB0061384","129397",NA,"CC(=O)NCCCN1CCCC1=O","1"
"Urea","Urea","HMDB0000294","1176","C00086","NC(N)=O","1"
"Methylimidazoleacetic acid","Methylimidazoleacetic acid","HMDB0002820","75810","C05828","CN1C=NC(CC(O)=O)=C1","1"
"alpha-Hydroxyisobutyric acid","alpha-Hydroxyisobutyric acid","HMDB0000729","11671",NA,"CC(C)(O)C(O)=O","1"
"Docosanoylcarnitine","Docosanoylcarnitine","HMDB0062468","71464577",NA,"CCCCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"(13Z,16Z)-Docosadienoylcarnitine","NA","NA","NA","NA","NA","0"
"Glutarylcarnitine","Glutarylcarnitine","HMDB0013130","53481699",NA,"C[N+](C)(C)C[C@@H](CC(O)=O)OC(=O)CCCC(O)=O","1"
"Kynurenine","Kynurenine","HMDB0000684","161166","C00328","N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O","1"
"Ophthalmic acid","Ophthalmic acid","HMDB0005765","7018721","C21016","CC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O","1"
"Stearoylcarnitine","Stearoylcarnitine","HMDB0000848","52922056",NA,"CCCCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"N-Acetylgalactosamine","N-Acetylgalactosamine","HMDB0000212","84265","C01132","CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O","1"
"Palmitoylcarnitine","Palmitoylcarnitine","HMDB0000222","11953816","C02990","CCCCCCCCCCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Spermine","Spermine","HMDB0001256","1103","C00750","NCCCNCCCCNCCCN","1"
"Adenosine monophosphate","Adenosine monophosphate","HMDB0000045","6083","C00020","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"D-Arabinose","D-Arabinose","HMDB0029942","444173","C00216","O[C@@H]1CO[C@@H](O)[C@@H](O)[C@@H]1O","1"
"Oleoylcarnitine","Oleoylcarnitine","HMDB0005065","46907933",NA,"CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Arachidyl carnitine","Arachidyl carnitine","HMDB0006460","53477833",NA,"CCCCCCCCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C","1"
"Myristoylcarnitine","NA","NA","NA","NA","NA","0"
"L-Allothreonine","L-Allothreonine","HMDB0004041","99289","C05519","C[C@H](O)[C@H](N)C(O)=O","1"
"5,6-Dihydrouridine","5,6-Dihydrouridine","HMDB0000497","94312",NA,"OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1CCC(=O)NC1=O","1"
"N-Acetyl-beta-alanine","N-Acetyl-beta-alanine","HMDB0061880","76406","C01073","CC(=O)NCCC(O)=O","1"
"L-Acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","C02571","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Dehydroascorbic acid","Dehydroascorbic acid","HMDB0001264","440667","C05422","[H][C@@]1(OC(=O)C(=O)C1=O)[C@@H](O)CO","1"
"Glycerylphosphorylethanolamine","Glycerylphosphorylethanolamine","HMDB0000114","123874","C01233","NCCOP(O)(=O)OCC(O)CO","1"
"Glycerophosphocholine","Glycerophosphocholine","HMDB0000086","657272","C00670","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"Sorbitol","Sorbitol","HMDB0000247","5780","C00794","OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"N-Acetylhistidine","N-Acetylhistidine","HMDB0032055","75619","C02997","CC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"N-Formyl-L-methionine","N-Formyl-L-methionine","HMDB0001015","439750","C03145","CSCC[C@H](NC=O)C(O)=O","1"
"O-Palmitoleoylcarnitine","NA","NA","NA","NA","NA","0"
"Sulfate","Sulfate","HMDB0001448","1117","C00059","OS(O)(=O)=O","1"
