"List","Num_genes"
"TMM name","../normed_counts/Exc_all_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0"
"CTL_cyclers_AR20BHQ1","5001"
"CTL_cyclers_AR33BHQ1","1291"
"AD_cyclers_AR20BHQ1","4574"
"AD_cyclers_AR33BHQ1","1028"
"AD_CTL_mthd2_cyclers_AR20BHQ1","5663"
"DR_cyclers_AR1BHQ3","1165"
"DR_cyclers_AR20BHQ3","1265"
"DR_cyclers_AR33BHQ3","639"
"DR_cyclers_mthd2_AR1_DRBHQ3","1167"
"DR_cyclers_mthd2_AR20_DRBHQ3","1270"
"DR_lostAmpAD_AR1BHQ3","1046"
"DR_lostAmpAD_AR20BHQ3","1130"
"DR_lostAmpAD_AR33BHQ3","553"
"DR_mthd2_lostAmpAD_AR1BHQ3","1048"
"DR_mthd2_lostAmpAD_AR20BHQ3","1125"
"DR_gainAmpAD_AR1BHQ3","119"
"DR_gainAmpAD_AR20BHQ3","135"
"DR_gainAmpAD_AR33BHQ3","86"
"DR_mthd2_gainAmpAD_AR1BHQ3","119"
"DR_mthd2_gainAmpAD_AR20BHQ3","145"
