GENE_SYMBOLS,refseq_ids
AKR7A3,NM_012067
LRRC8C-DT,NR_033981
DENND2D,NM_001271833
PIP5K1A,NM_001135636
THEM5,NM_182578
FLG2,NM_001014342
OBSCN,NM_001098623
PGBD5,NM_001258311
WDR64,NM_001367482
RNASEH1-AS1,NA
EML4,NM_001145076
SPRED2,NM_001128210
FAP,NM_001291807
SLC38A11,NM_001199148
CCNYL1,NM_001142300
PID1,NM_001100818
TRAF3IP1,NM_001139490
TRNT1,NM_001302946
CMTM7,NM_138410
RAD54L2,NM_001322253
PRICKLE2,NM_001370528
SIDT1,NM_001308350
TEX55,NM_152539
RNF150,NM_020724
F11,NM_000128
ANKRD33B,NM_001164440
HOMER1,NM_001277077
FOXF2,NM_001452
SCGN,NM_006998
PSORS1C1,NM_014068
SESN1,NM_001199933
LATS1,NM_001270519
TMEM184A,NM_001097620
SNX8,NM_013321
RSPH10B2,NM_001099697
POM121,NM_001257190
ZC3HAV1L,NM_080660
CLEC5A,NM_001301167
ESYT2,NM_001367773
NKX6-3,NM_001364841
TNFRSF11B,NM_002546
NTRK2,NM_001007097
SHC3,NM_016848
OR6A2,NM_003696
ROM1,NM_000327
SMIM38,NM_001369201
CARD16,NM_001017534
SIK2,NM_015191
TECTA,NM_005422
NRIP2,NM_031474
CD163,NM_001370145
CSRNP2,NM_030809
FIGNL2,NM_001013690
TMPO-AS1,NR_027157
TDG,NM_001008411
NOS1,NM_000620
SLC15A4,NM_145648
ZNF140,NM_001300776
SMAD9,NM_001127217
CAB39L,NM_001079670
FKBP3,NM_002013
TRPM1,NM_001252020
CPEB1,NM_001079533
RHCG,NM_001321041
RANBP10,NM_001320238
PMFBP1,NM_001160213
RAI1,NM_017574
THEG,NM_016585
MED26,NM_004831
ZNF14,NM_021030
APOC1,NM_001321065
IRF3,NM_001197122
SIGLEC9,NM_001198558
RNF24,NM_001134337
EFCAB8,NM_001143967
PTPN1,NM_001278618
RNF113A,NM_006978
MOSPD1,NM_001306188
PNMA5,NM_001103150
PRICKLE2-AS2,NR_046701
