"","Total","Expected","Hits","Raw p","-log10(p)","Holm adjust","FDR","Impact"
"Glycolysis or Gluconeogenesis",61,1.2,8,1.6468e-05,4.7834,0.0013833,0.0013833,0.6
"Fructose and mannose metabolism",40,0.78689,6,9.7401e-05,4.0114,0.0080843,0.0040909,0.66667
"Purine metabolism",166,3.2656,9,0.0041898,2.3778,0.34357,0.11732,0.44848
"Drug metabolism - other enzymes",70,1.377,5,0.011055,1.9564,0.89545,0.23215,0.11594
"Glutathione metabolism",56,1.1016,4,0.022898,1.6402,1,0.38469,0.12727
"Terpenoid backbone biosynthesis",36,0.7082,3,0.032389,1.4896,1,0.45345,0.25714
"Citrate cycle (TCA cycle)",42,0.82623,3,0.047994,1.3188,1,0.51366,0.34146
"Cysteine and methionine metabolism",71,1.3967,4,0.04892,1.3105,1,0.51366,0.25714
"Phenylalanine metabolism",21,0.41311,2,0.06277,1.2022,1,0.58586,0.4
"Butanoate metabolism",29,0.57049,2,0.11001,0.95857,1,0.92408,0.17857
"Pyrimidine metabolism",99,1.9475,4,0.12773,0.8937,1,0.97542,0.36735
"Synthesis and degradation of ketone bodies",10,0.19672,1,0.18049,0.74354,1,1,0.33333
"Arginine and proline metabolism",78,1.5344,3,0.1966,0.70642,1,1,0.077922
"Phenylalanine, tyrosine and tryptophan biosynthesis",11,0.21639,1,0.19668,0.70624,1,1,0.8
"beta-Alanine metabolism",44,0.86557,2,0.21392,0.66976,1,1,0.11628
"Pyruvate metabolism",45,0.88525,2,0.22122,0.65518,1,1,0.18182
"Pentose phosphate pathway",47,0.92459,2,0.23588,0.62731,1,1,0.13043
"Lipoic acid metabolism",15,0.29508,1,0.25836,0.58778,1,1,0.14286
"Taurine and hypotaurine metabolism",16,0.31475,1,0.27304,0.56378,1,1,0.26667
"Alanine, aspartate and glutamate metabolism",61,1.2,2,0.33891,0.46992,1,1,0.1
"Glycine, serine and threonine metabolism",68,1.3377,2,0.38924,0.40978,1,1,0.029851
"Inositol phosphate metabolism",69,1.3574,2,0.39631,0.40197,1,1,0.058824
"Arginine biosynthesis",27,0.53115,1,0.41687,0.38,1,1,0.076923
"Phosphatidylinositol signaling system",74,1.4557,2,0.43109,0.36543,1,1,0.068493
"N-Glycan biosynthesis",77,1.5148,2,0.45147,0.34537,1,1,0.078947
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis",31,0.60984,1,0.46193,0.33542,1,1,0.1
"Amino sugar and nucleotide sugar metabolism",79,1.5541,2,0.46484,0.33269,1,1,0.10256
"Histidine metabolism",32,0.62951,1,0.47265,0.32546,1,1,0.064516
"Pentose and glucuronate interconversions",32,0.62951,1,0.47265,0.32546,1,1,0.12903
"Selenocompound metabolism",35,0.68852,1,0.50358,0.29793,1,1,0.058824
"Glycerolipid metabolism",35,0.68852,1,0.50358,0.29793,1,1,0.058824
"Tyrosine metabolism",88,1.7311,2,0.52264,0.28179,1,1,0.091954
"Nicotinate and nicotinamide metabolism",42,0.82623,1,0.56899,0.24489,1,1,0.097561
"Drug metabolism - cytochrome P450",98,1.9279,2,0.58198,0.23509,1,1,0.020619
"Propanoate metabolism",48,0.94426,1,0.61828,0.20881,1,1,0.085106
"Galactose metabolism",51,1.0033,1,0.64081,0.19327,1,1,0.08
"Porphyrin and chlorophyll metabolism",53,1.0426,1,0.6551,0.18369,1,1,0.038462
"Glyoxylate and dicarboxylate metabolism",56,1.1016,1,0.6755,0.17037,1,1,0.072727
"Sphingolipid metabolism",58,1.141,1,0.68844,0.16213,1,1,0.052632
"Folate biosynthesis",61,1.2,1,0.70691,0.15064,1,1,0.033333
"Fatty acid elongation",75,1.4754,1,0.77984,0.10799,1,1,0.054054
"Metabolism of xenobiotics by cytochrome P450",145,2.8525,2,0.78993,0.10241,1,1,0.18056
"Steroid biosynthesis",82,1.6131,1,0.80932,0.091882,1,1,0.049383
"Glycerophospholipid metabolism",86,1.6918,1,0.82438,0.083871,1,1,0.023529
"Valine, leucine and isoleucine degradation",88,1.7311,1,0.83147,0.080151,1,1,0.034483
