"CHEM_ID","SUPER_PATHWAY","SUB_PATHWAY","CHEMICAL_NAME","SHORT_NAME","CHEMSPIDER","HMDB","PUBCHEM","KEGG","p_mesor","mesor_CTL","mesor_AD","BHQ","Bonf"
"100000007","Lipid","Carnitine Metabolism","carnitine","carnitine",10455,"HMDB0000062",288,"C00487,C00308","0.767220463072045","0.940140813051574","0.965094156032005",0.911803042739117,1
"100000008","Xenobiotics","Benzoate Metabolism","benzoate","benzoate",238,"HMDB0001870",243,"C00180","0.10145724554644","1.10937004283019","1.04429522239008",0.343664718008743,1
"100000010","Xenobiotics","Benzoate Metabolism","3-phenylpropionate (hydrocinnamate)","3-phenylpropionate (hydrocinnamate)",10181339,"HMDB0000764",107,"C05629",NA,NA,NA,NA,NA
"100000014","Xenobiotics","Benzoate Metabolism","hippurate","hippurate",451,"HMDB0000714",464,"C01586","0.603165837633362","1.27983952060591","1.21816829745915",0.83937027059994,1
"100000036","Amino Acid","Leucine, Isoleucine and Valine Metabolism","3-methyl-2-oxovalerate","3-methyl-2-oxovalerate",46,"HMDB0000491",439286440877,"C03465,C06008,C00671",NA,NA,NA,NA,NA
"100000039","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","methionine sulfoxide","methionine sulfoxide",139840,"HMDB0002005",158980,"C02989","0.00155352401252995","0.926203040422476","1.0821707848528",0.0279459252004868,1
"100000042","Amino Acid","Histidine Metabolism","3-methylhistidine","3-methylhistidine",58494,"HMDB0000479",64969,"C01152","0.252024615685115","1.48910842673201","1.31407917188381",0.543253772019029,1
"100000043","Xenobiotics","Drug - Analgesics, Anesthetics","4-acetamidophenylglucuronide","4-acetamidophenylglucuronide",3239926,"HMDB0010316",402266183944,NA,"0.818066354084108","1.35922520000064","1.40490567423763",0.940652997158688,1
"100000054","Amino Acid","Lysine Metabolism","5-hydroxylysine","5-hydroxylysine",1002,"HMDB0000450",3032849,"C16741","0.106487084643659","1.10153726084737","1.0145051377811",0.349886135257737,1
"100000096","Amino Acid","Guanidino and Acetamido Metabolism","4-guanidinobutanoate","4-guanidinobutanoate",486,"HMDB0003464",500,"C01035","0.166903841143545","1.02802888469153","1.07660304702761",0.445456668171509,1
"100000101","Lipid","Fatty Acid, Dicarboxylate","pimelate (C7-DC)","pimelate (C7-DC)",376,"HMDB0000857",385,"C02656","0.0351982702351552","0.97053096817025","1.06871796208789",0.200998550505343,1
"100000125","Nucleotide","Pyrimidine Metabolism, Cytidine containing","2'-deoxycytidine","2'-deoxycytidine",13117,"HMDB0000014",13711,"C00881","0.146061952505264","1.2441443943824","1.13374248715971",0.413842198764915,1
"100000135","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","2'-deoxyinosine","2'-deoxyinosine",58569,"HMDB0000071",135398593,"C05512","0.816398344562","1.0341031848095","1.05025315686866",0.940652997158688,1
"100000257","Carbohydrate","Aminosugar Metabolism","glucuronate","glucuronate",58552,"HMDB0000127",4.4147823677977e+29,"C16245","0.361185783557621","1.09274783518123","1.02927203278357",0.646395070929002,1
"100000258","Lipid","Glycerolipid Metabolism","glycerol 3-phosphate","glycerol 3-phosphate",734,"HMDB0000126",754,"C0093","0.156229650085594","1.01395868774906","1.0599450203598",0.430929192827403,1
"100000263","Amino Acid","Histidine Metabolism","imidazole lactate","imidazole lactate",389128,"HMDB0002320",793,"C05568","0.0607415789012893","1.03820519335939","0.938895167391335",0.271428084004618,1
"100000265","Amino Acid","Tryptophan Metabolism","kynurenine","kynurenine",141580,"HMDB0000684",161166,"C00328","0.870511497156663","0.868155148387499","0.87544815783892",0.963463640295659,1
"100000269","Lipid","Phospholipid Metabolism","glycerophosphorylcholine (GPC)","glycerophosphorylcholine (GPC)",571409,"HMDB0000086",71920,"C00670","5.91471456429988e-07","0.827860846310277","1.04583914573452",0.000154176892976084,0.000462530678928251
"100000272","Amino Acid","Glycine, Serine and Threonine Metabolism","allo-threonine","allo-threonine",89699,"HMDB0004041",99289,"C05519","0.0599015644398942","0.879191394984751","0.983069063771161",0.269578187868361,1
"100000275","Carbohydrate","Glycogen Metabolism","maltotetraose","maltotetraose",393830,"HMDB0001296",439639,"C02052","0.562450791324846","1.1669225275197","1.10524637836613",0.812544942462276,1
"100000276","Carbohydrate","Glycogen Metabolism","maltotriose","maltotriose",388669,"HMDB0001262",439586,"C01835","0.410373485244959","1.14940266901906","1.04205927637594",0.681117201513335,1
"100000282","Amino Acid","Glutamate Metabolism","N-acetylglutamate","N-acetylglutamate",1266066,"HMDB0001138",70914,"C00624","0.00160814147573134","1.0220912280408","0.964415852178929",0.0279459252004868,1
"100000298","Carbohydrate","Nucleotide Sugar","UDP-galactose","UDP-galactose",17069,"HMDB0000302",18068,"C00052","0.216523161265598","0.902709969300254","0.984120663094794",0.505447205445487,1
"100000299","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing","xanthosine","xanthosine",58484,"HMDB0000299",64959,"C01762","0.0625664291466536","1.02036412730843","0.972700583228688",0.273181855738045,1
"100000300","Carbohydrate","Fructose, Mannose and Galactose Metabolism","galactose 1-phosphate","galactose 1-phosphate",NA,"HMDB0000645",123912,"C00446","0.174173288881301","1.01476015251032","0.9459827737959",0.454011706350591,1
"100000406","Carbohydrate","Pentose Metabolism","ribitol","ribitol",10254628,"HMDB0002917,HMDB0001851,HMDB0000568,HMDB0000508",6912,"C00379,C01904,C00474,C00532","0.0395621722687787","1.04363749069194","0.989464366301125",0.220982990815607,1
"100000409","Xenobiotics","Food Component/Plant","2-isopropylmalate","2-isopropylmalate",76,"HMDB0000402",77,"C02504","0.030923284959773","1.12469060663051","1.0067658690576",0.19040951841372,1
"100000436","Lipid","Secondary Bile Acid Metabolism","glycodeoxycholate","glycodeoxycholate",NA,"HMDB00631",3035026,"C05464",NA,NA,NA,NA,NA
"100000437","Xenobiotics","Xanthine Metabolism","theophylline","theophylline",2068,"HMDB0001889",2153,"C07130",NA,NA,NA,NA,NA
"100000442","Xenobiotics","Food Component/Plant","quinate","quinate",10246715,"HMDB0003072",6508,"C00296","0.0663161535533528","1.56855214968925","1.30299374571421",0.279095856272924,1
"100000445","Xenobiotics","Xanthine Metabolism","theobromine","theobromine",5236,"HMDB0002825",5429,"C07480","0.77784268413584","1.22062939700844","1.14772136967625",0.915927936138177,1
"100000453","Xenobiotics","Xanthine Metabolism","paraxanthine","paraxanthine",4525,"HMDB0001860",4687,"C13747",NA,NA,NA,NA,NA
"100000454","Amino Acid","Lysine Metabolism","5-aminovalerate","5-aminovalerate",135,"HMDB0003355",138,"C00431","0.205362135588703","1.0121718795834","1.07820819632095",0.49261714733241,1
"100000463","Amino Acid","Tryptophan Metabolism","indolelactate","indolelactate",83867,"HMDB0000671",92904,"C02043",NA,NA,NA,NA,NA
"100000467","Amino Acid","Tryptophan Metabolism","3-indoxyl sulfate","3-indoxyl sulfate",9840,"HMDB0000682",10258,NA,"0.19766868776881","1.09087640854678","0.958327928399721",0.487624333865014,1
"100000487","Peptide","Dipeptide","glycylvaline","glycylvaline",2006926,"HMDB0028854",2724807,NA,"0.364436742977788","1.0555977155603","0.99860359476045",0.647976680796712,1
